Run   obj.function   RMSE_1        RES_STAB      par_g_1       par_g_2       par_g_3       par_g_5       par_s_1       par_s_3       par_s_4       par_s_5       par_s_6       par_s_7       par_s_8       par_sc_1      par_sc_2      par_vc_1      par_vc_4      par_vc_7      par_v_1_sai_ht  par_v_2_max_ca  par_v_5_max_sn  par_v_8_rai   par_v_11_sno  par_v_14_svfex  par_lc_1      par_lc_2      par_l_1_DEP   par_l_4_OW    par_l_5_OW    par_l_6_FOR   par_l_7_MEL   par_l_10_MIN  par_l_13_HBV  par_l_16_REF  par_l_19_HBV  par_l_22_LPET_CORR  par_l_23_ABST  href_67       Vref_67       Aref_67       slope_67      hflow_67      apwr_67       bpwr_67       href_71       Vref_71       Aref_71       slope_71      hflow_71      apwr_71       bpwr_71       href_72       Vref_72       Aref_72       slope_72      
1     1.910540E+00  1.910540E+00  0.000000E+00  2.190000E-01  7.360000E-01  -1.915353E+00  7.449528E+00  1.256756E-01  7.805734E-01  4.439595E+01  8.716939E-01  8.333215E+00  3.758329E+00  6.861731E-01  1.017967E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  1.473634E+01  1.299363E+01  3.982305E-02  1.937911E-02  7.714301E-01  1.309010E-02  9.000000E-01  6.819091E+01  9.614733E-01  4.941748E-01  1.480000E-01  1.072543E+00  1.519473E+00  5.580518E-01  4.300779E+00  9.116526E-01  1.085418E+00  2.492278E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  6.342023E+00  9.976670E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  3.158058E+00  5.050751E-02  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
2     3.032330E+00  3.032330E+00  0.000000E+00  2.190000E-01  7.360000E-01  1.911810E+00  5.903620E+00  5.329917E-01  1.184215E+01  2.874179E+01  4.549639E+01  6.484616E+00  1.693186E+00  4.536393E-01  7.603845E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  2.247694E+01  8.367945E+00  3.090443E-02  4.550782E-02  9.321091E-02  7.580945E-02  9.000000E-01  6.919694E+01  9.369980E-01  9.415337E-01  1.480000E-01  6.673745E+00  6.095781E-01  1.492518E+00  2.076316E+00  8.243012E-01  1.288135E+00  2.971204E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.018270E+01  1.741888E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  3.572311E+00  4.940535E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
3     9.040410E+00  7.040410E+00  2.000000E+00  2.190000E-01  7.360000E-01  -4.744870E+00  1.307300E+00  6.093368E-01  1.328401E+01  2.456330E+01  3.795866E+01  6.553754E+00  2.304898E+00  1.915566E-01  1.280757E+02  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  1.344345E+01  1.191564E+01  1.476833E-02  1.377812E-02  1.357857E-01  9.969925E-02  9.000000E-01  2.132308E+02  3.817060E-01  4.638288E-01  1.480000E-01  9.210931E+00  1.107915E+00  5.362793E-01  4.266430E+00  1.479269E+00  8.793655E-01  4.202277E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.692774E+01  5.490585E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  9.078905E+00  8.613502E-01  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
4     1.423990E+01  1.223990E+01  2.000000E+00  2.190000E-01  7.360000E-01  4.080326E-01  6.955509E+00  2.429896E-01  1.390605E+01  1.337451E+01  1.892914E+01  7.303206E+00  5.752460E-01  4.929528E-01  4.093107E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  4.415460E+00  1.066125E+00  1.711058E-02  6.082088E-02  9.953558E-01  6.541591E-02  9.000000E-01  6.971585E+01  3.310782E-01  4.736391E-01  1.480000E-01  9.610434E+00  1.992049E+00  9.091012E-01  2.356851E+00  8.454655E-01  7.211498E-01  3.992387E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.719971E+00  2.849270E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  1.757996E+01  3.782213E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
5     3.763810E+00  3.763810E+00  0.000000E+00  2.190000E-01  7.360000E-01  -5.142077E+00  7.342543E+00  4.171937E-01  1.316224E+01  1.683141E+01  4.397770E+01  6.642981E-01  2.089871E+00  3.473889E-01  6.845231E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  8.658045E-01  6.346755E+00  9.885335E-02  9.252251E-02  3.511774E-01  3.363093E-02  9.000000E-01  1.480442E+02  4.114803E-01  6.554739E-01  1.480000E-01  3.426361E+00  2.192354E+00  1.346447E+00  4.356425E+00  1.138478E+00  7.010189E-01  2.528713E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  5.905805E+00  1.959442E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  1.345824E+01  6.396368E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
6     5.399030E+00  5.399030E+00  0.000000E+00  2.190000E-01  7.360000E-01  -8.662830E+00  2.511984E+00  2.817172E-01  1.567910E+01  1.931645E+01  3.716913E+01  6.296870E+00  1.097010E+00  5.197639E-01  1.761299E+02  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  2.296192E+01  1.228340E+01  6.761842E-02  1.688649E-02  3.606649E-01  6.107841E-02  9.000000E-01  6.854633E+01  4.627721E-01  5.075426E-01  1.480000E-01  1.421414E+01  3.649803E+00  6.140189E-01  4.821044E+00  1.118908E+00  6.803598E-01  7.606794E-02  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.415619E+01  3.233054E-02  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  1.841418E+01  6.790430E-01  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
7     1.483530E+00  1.483530E+00  0.000000E+00  2.190000E-01  7.360000E-01  -6.391541E+00  4.826240E+00  2.340949E-01  1.592208E+01  2.002313E+01  4.620815E+00  9.091892E+00  1.688632E+00  8.814571E-01  2.699617E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  2.352484E+01  1.118345E+01  2.924037E-02  3.688558E-02  1.209156E-01  6.902303E-02  9.000000E-01  7.697537E+00  7.082043E-01  7.548373E-01  1.480000E-01  3.405936E+00  3.361380E+00  1.311330E+00  3.030650E+00  1.165711E+00  5.896278E-01  3.994719E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.075628E+01  6.591989E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  9.173343E+00  8.741312E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
8     2.802430E+00  2.802430E+00  0.000000E+00  2.190000E-01  7.360000E-01  1.263735E+00  9.749375E+00  4.158319E-01  1.353602E+01  7.358999E+00  1.347285E+01  4.870202E+00  2.211574E+00  1.127881E+00  1.197484E+02  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  9.995103E+00  8.477680E-01  4.597253E-02  3.453656E-02  5.354332E-02  6.478131E-02  9.000000E-01  3.451279E+01  3.298602E-01  4.302908E-01  1.480000E-01  1.190501E+01  1.946367E+00  1.323657E+00  2.424826E+00  6.913196E-01  1.109841E+00  5.761349E-02  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.499438E+01  8.456708E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  7.557585E+00  3.500498E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
9     1.857710E+00  1.857710E+00  0.000000E+00  2.190000E-01  7.360000E-01  -1.438434E+00  5.552740E+00  2.605258E-01  1.245543E+01  1.560875E+01  3.214638E+01  4.450883E+00  2.083418E+00  1.017279E+00  4.144617E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  1.726478E+01  8.881712E+00  3.099720E-02  1.817416E-02  6.157329E-01  8.706856E-02  9.000000E-01  4.273638E+01  4.364236E-01  6.017917E-01  1.480000E-01  1.365944E+00  8.210684E-01  7.888052E-01  3.354578E+00  5.806686E-01  5.018152E-01  4.916967E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  1.493191E+01  7.864510E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  1.300960E+01  4.871224E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
10    1.225760E+00  1.225760E+00  0.000000E+00  2.190000E-01  7.360000E-01  -4.288884E+00  5.288118E-01  2.162055E-01  3.350676E+00  1.555665E+00  1.292420E+01  4.527036E+00  2.182442E+00  4.722513E-01  9.093951E+01  2.000000E-01  1.630000E+01  6.440000E+00  8.840000E+00  2.740000E+00  4.784803E+00  7.820706E+00  4.486724E-02  4.777837E-02  8.191039E-01  6.502625E-02  9.000000E-01  2.885368E+02  4.755571E-01  8.692801E-01  1.480000E-01  3.583353E+00  1.912786E+00  5.186083E-01  4.816980E+00  6.006053E-01  8.956277E-01  4.710130E-01  3.880000E+02  2.000000E+08  5.750000E+06  5.060000E+00  3.885000E+02  9.037907E+00  8.627651E+00  3.880000E+02  2.000000E+08  1.010000E+07  6.510000E+00  3.885000E+02  2.242586E+00  7.872830E+00  3.045000E+02  0.000000E+00  4.790000E+07  5.760000E+00  
