#  parameters for each algorithm
# algorithm name | algorithm type | parameter name | parameter class

PRECIP_RAVEN Precipitation FOREST_COVERAGE LULT
PRECIP_RAVEN Precipitation POROSITY SOIL
CANEVP_RUTTER CanopyEvap FOREST_COVERAGE LULT
CANEVP_RUTTER CanopyEvap MAX_CAPACITY LULT
CANEVP_RUTTER CanopyEvap TRUNK_FRACTION LULT
CANEVP_MAXIMUM CanopyEvap FOREST_COVERAGE LULT
SOILEVAP_VIC SoilEvaporation VIC_ALPHA SOIL
SOILEVAP_VIC SoilEvaporation VIC_ZMAX SOIL
SOILEVAP_VIC SoilEvaporation VIC_ZMIN SOIL
SOILEVAP_VIC SoilEvaporation VIC_EVAP_GAMMA SOIL
SOILEVAP_VIC SoilEvaporation PET_CORRECTION SOIL
SOILEVAP_HBV SoilEvaporation FIELD_CAPACITY SOIL
SOILEVAP_HBV SoilEvaporation SAT_WILT SOIL
SOILEVAP_HBV SoilEvaporation FOREST_COVERAGE LULT
SOILEVAP_HBV SoilEvaporation PET_CORRECTION SOIL
SOILEVAP_CHU SoilEvaporation CHU_MATURITY VEG
SOILEVAP_CHU SoilEvaporation PET_CORRECTION SOIL
SOILEVAP_TOPMODEL SoilEvaporation	FIELD_CAPACITY SOIL
SOILEVAP_TOPMODEL SoilEvaporation SAT_WILT SOIL
SOILEVAP_TOPMODEL SoilEvaporation PET_CORRECTION SOIL
SOILEVAP_SEQUEN SoilEvaporation	FIELD_CAPACITY SOIL
SOILEVAP_SEQUEN SoilEvaporation SAT_WILT SOIL
SOILEVAP_SEQUEN SoilEvaporation PET_CORRECTION SOIL
SOILEVAP_ROOTFRAC SoilEvaporation		REL_ROOTDEN VEG
SOILEVAP_ROOTFRAC SoilEvaporation		PET_CORRECTION SOIL
SOILEVAP_ROOT SoilEvaporation PET_CORRECTION SOIL
SOILEVAP_ROOT SoilEvaporation POROSITY SOIL
SOILEVAP_ROOT SoilEvaporation SAT_WILT SOIL
SOILEVAP_ROOT_CONSTRAIN SoilEvaporation PET_CORRECTION SOIL
SOILEVAP_ROOT_CONSTRAIN SoilEvaporation POROSITY SOIL
SOILEVAP_ROOT_CONSTRAIN SoilEvaporation SAT_WILT SOIL
SOILEVAP_GAWSER SoilEvaporation PET_CORRECTION SOIL
LAKE_EVAP_BASIC LakeEvaporation LAKE_PET_CORR LULT
OPEN_WATER_EVAP OpenWaterEvaporation OW_PET_CORR LULT
INF_RATIONAL Infiltration IMPERMEABLE_FRAC LULT
INF_RATIONAL Infiltration PARTITION_COEFF LULT
INF_SCS Infiltration SCS_CN LULT
INF_SCS Infiltration SCS_IA_FRACTION LULT
INF_SCS Infiltration IMPERMEABLE_FRAC LULT
INF_HMETS Infiltration IMPERMEABLE_FRAC LULT
INF_HMETS Infiltration HMETS_RUNOFF_COEFF LULT
INF_ALL_INFILTRATES Infiltration IMPERMEABLE_FRAC LULT
INF_GREEN_AMPT Infiltration HYDRAUL_COND SOIL
INF_GREEN_AMPT Infiltration WETTING_FRONT_PSI SOIL
INF_GREEN_AMPT Infiltration IMPERMEABLE_FRAC LULT
INF_GA_SIMPLE Infiltration HYDRAUL_COND SOIL
INF_GA_SIMPLE Infiltration WETTING_FRONT_PSI SOIL
INF_GA_SIMPLE Infiltration IMPERMEABLE_FRAC LULT
INF_UPSCALED_GREEN_AMPT Infiltration HYDRAUL_COND SOIL
INF_UPSCALED_GREEN_AMPT Infiltration WETTING_FRONT_PSI SOIL
INF_UPSCALED_GREEN_AMPT Infiltration IMPERMEABLE_FRAC LULT
INF_UPSCALED_GREEN_AMPT Infiltration KSAT_STD_DEVIATION SOIL
INF_HBV Infiltration IMPERMEABLE_FRAC LULT
INF_HBV Infiltration HBV_BETA SOIL
INF_UBC Infiltration IMPERMEABLE_FRAC LULT
INF_UBC Infiltration MAX_PERC_RATE SOIL
INF_UBC Infiltration UBC_INFIL_SOIL_DEF SOIL
INF_UBC Infiltration UBC_GW_SPLIT GLOBAL
INF_UBC Infiltration UBC_FLASH_PONDING GLOBAL
INF_VIC Infiltration IMPERMEABLE_FRAC LULT
INF_VIC Infiltration VIC_ZMAX SOIL
INF_VIC Infiltration VIC_ZMIN SOIL
INF_VIC Infiltration VIC_ZALPHA SOIL
INF_VIC Infiltration POROSITY SOIL
INF_VIC Infiltration IMPERMEABLE_FRAC LULT
INF_VIC_ARNO Infiltration IMPERMEABLE_FRAC LULT
INF_VIC_ARNO Infiltration B_EXP LULT
INF_PRMS Infiltration FIELD_CAPACITY SOIL
INF_PRMS Infiltration SAT_WILT SOIL [0..1]
INF_PRMS Infiltration IMPERMEABLE_FRAC LULT
INF_PRMS Infiltration MAX_SAT_AREA_FRAC LULT
INF_PRMS Infiltration POROSITY SOIL [0..1]
PERC_GAWSER Percolation MAX_PERC_RATE SOIL
PERC_GAWSER Percolation	FIELD_CAPACITY SOIL
PERC_GAWSER_CONSTRAIN Percolation FIELD_CAPACITY SOIL
PERC_GAWSER_CONSTRAIN Percolation MAX_PERC_RATE SOIL
PERC_LINEAR Percolation PERC_COEFF SOIL
