time,date,hour,precip [mm/day],sub36 [m],sub36 (observed) [m3/s],sub43 [m]
0,2002-10-01,00:00:00,---,214.821,,192.5
1,2002-10-02,00:00:00,3.46869,214.8246,214.821,192.434
2,2002-10-03,00:00:00,1.18918,214.8408,214.821,192.3955
3,2002-10-04,00:00:00,2.08326,214.8615,214.8219,192.3504
4,2002-10-05,00:00:00,6.47431,214.8786,214.8219,192.2888
5,2002-10-06,00:00:00,0.125591,214.893,214.8219,192.2118
6,2002-10-07,00:00:00,0.841207,214.9137,214.83,192.1436
7,2002-10-08,00:00:00,1.53557,214.9326,214.8372,192.0754
8,2002-10-09,00:00:00,0.0642942,214.9452,214.839,191.9929
9,2002-10-10,00:00:00,0,214.9605,214.8417,191.9126
10,2002-10-11,00:00:00,0,214.9749,214.8444,191.8334
11,2002-10-12,00:00:00,0.14582,214.9884,214.8471,191.7542
12,2002-10-13,00:00:00,1.1653,215.001,214.8471,191.6728
13,2002-10-14,00:00:00,0.91735,215.0127,214.848,191.5936
14,2002-10-15,00:00:00,0,215.0244,214.8489,191.5144
15,2002-10-16,00:00:00,0,215.0343,214.848,191.433
16,2002-10-17,00:00:00,0,215.0451,214.8471,191.3527
17,2002-10-18,00:00:00,0.576301,215.0541,214.8462,191.2724
18,2002-10-19,00:00:00,11.4375,215.064,214.8462,191.1921
19,2002-10-20,00:00:00,4.63235,215.0748,214.8462,191.1162
20,2002-10-21,00:00:00,0.251183,215.0865,214.848,191.0447
21,2002-10-22,00:00:00,1.15551,215.0919,214.8444,190.9688
22,2002-10-23,00:00:00,2.26664,215.091,214.8345,190.8907
23,2002-10-24,00:00:00,0,215.0919,214.8246,190.817
24,2002-10-25,00:00:00,0,215.091,214.8147,190.7455
25,2002-10-26,00:00:00,9.44495,215.0883,214.8021,190.6707
26,2002-10-27,00:00:00,0.447062,215.0856,214.7904,190.597
27,2002-10-28,00:00:00,0.448561,215.0874,214.7823,190.5299
28,2002-10-29,00:00:00,0,215.0892,214.7751,190.4628
29,2002-10-30,00:00:00,0,215.0856,214.7625,190.3902
30,2002-10-31,00:00:00,0,215.082,214.749,190.3165
31,2002-11-01,00:00:00,5.50081,215.0784,214.7364,190.2439
32,2002-11-02,00:00:00,4.28381,215.0748,214.7247,190.1724
33,2002-11-03,00:00:00,1.58937,215.0712,214.7112,190.1009
34,2002-11-04,00:00:00,0,215.0676,214.6986,190.0294
35,2002-11-05,00:00:00,0,215.0631,214.686,189.959
36,2002-11-06,00:00:00,1.56572,215.064,214.6788,189.8963
37,2002-11-07,00:00:00,4.1262,215.0667,214.6716,189.8358
38,2002-11-08,00:00:00,0,215.0631,214.6599,189.7687
39,2002-11-09,00:00:00,0,215.0595,214.6482,189.7016
40,2002-11-10,00:00:00,0.551577,215.0568,214.6365,189.6345
41,2002-11-11,00:00:00,32.2238,215.0523,214.6239,189.5674
42,2002-11-12,00:00:00,1.00065,215.0478,214.6104,189.5003
43,2002-11-13,00:00:00,0,215.0442,214.5987,189.4365
44,2002-11-14,00:00:00,0,215.0397,214.587,189.3727
45,2002-11-15,00:00:00,3.04701,215.0343,214.5735,189.3067
46,2002-11-16,00:00:00,0.900118,215.0298,214.5609,189.2418
47,2002-11-17,00:00:00,0.335519,215.0244,214.5474,189.178
