time[d],date,hour,SURFACE_WATER,,,,,,,,ATMOSPHERE,,,,,,,,ATMOS_PRECIP,,,,,,,,,,,,,,,PONDED_WATER,,,,,,,,SOIL[0],,,,,,,,SOIL[1],,,,,,,,SOIL[2],,,,,,SNOW_LIQ,,,,,,SNOW,,,,,,CANOPY,,,,,CANOPY_SNOW,,,,
,,,Flush,Precipitation,Infiltration,Baseflow,Baseflow,cumulative,storage,error,Precipitation,Canopy Evaporation,Canopy Snow Evaporation,Soil Evaporation,Soil Evaporation,cumulative,storage,error,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,Precipitation,cumulative,storage,error,Infiltration,Infiltration,Precipitation,Snow Melt & Refreeze,Overflow,cumulative,storage,error,Soil Evaporation,Soil Evaporation,Precipitation,Infiltration,Capillary Rise,cumulative,storage,error,Capillary Rise,Percolation,Baseflow,Precipitation,Flush,cumulative,storage,error,Baseflow,Precipitation,Percolation,cumulative,storage,error,Snow Refreeze,Overflow,Precipitation,cumulative,storage,error,Snow Melt & Refreeze,Snow Refreeze,Precipitation,cumulative,storage,error,Canopy Evaporation,Precipitation,cumulative,storage,error,Canopy Snow Evaporation,Precipitation,cumulative,storage,error
0,2002-10-01,00:00:00.00,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0,-0,0,0,0,0,10,-10,-0,-0,-0,0,0,0,10,-10,-0,0,0,0,10,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,0
1,2002-10-02,00:00:00.00,-1.61602,0,1.61602,2.76691,0.503647,3.27055,0,3.27055,0,0.02871,0,2.81385,2.81385,5.65641,5.65641,1.77636e-015,-0,-0,-0,-3.43998,-0,-0,-0,-0,-0,-0.02871,-0,0,-3.46869,-3.46869,4.44089e-016,-1.82396,-1.61602,3.43998,0,0,0,0,0,-2.81385,-2.81385,0,1.82396,0.854061,-2.94968,7.05032,-10,-0.854061,-1.446,-2.76691,0,1.61602,-3.45095,6.54905,-10,-0.503647,0,1.446,0.942353,10.9424,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.02871,0.02871,0,0,0,-0,0,0,0,0
2,2002-10-03,00:00:00.00,-2.09418,0,2.09418,3.48391,1.04876,4.53267,0,4.53267,0,0.0383652,0,5.0944,5.08951,10.2223,10.2223,-1.77636e-015,-0,-0,-0,-4.6195,-0,-0,-0,-0,-0,-0.0383652,-0,0,-4.65787,-4.65787,-1.77636e-015,-2.52532,-2.09418,4.6195,0,0,0,1.01511e-017,-1.01511e-017,-5.0944,-5.08951,0,2.52532,1.81321,-5.84539,4.15461,-10,-1.81321,-2.892,-3.48391,0,2.09418,-6.09493,3.90507,-10,-1.04876,0,2.892,1.84324,11.8432,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.0383652,0.0383652,0,0,0,-0,0,0,0,0
3,2002-10-04,00:00:00.00,-2.58179,0,2.58179,3.61924,1.63351,5.25275,0,5.25275,0,0.0578384,0,6.39129,6.38844,12.8376,12.8376,1.06581e-014,-0,-0,-0,-6.68329,-0,-0,-0,-0,-0,-0.0578384,-0,0,-6.74113,-6.74113,-1.77636e-015,-4.1015,-2.58179,6.68329,0,0,-8.88178e-016,-9.44248e-018,-8.78736e-016,-6.39129,-6.38844,0,4.1015,2.80315,-5.87509,4.12491,-10,-2.80315,-4.338,-3.61924,0,2.58179,-8.1786,1.8214,-10,-1.63351,0,4.338,2.70449,12.7045,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.0578384,0.0578384,0,0,0,-0,0,0,0,0
4,2002-10-05,00:00:00.00,-4.45318,0,4.45318,3.71538,2.25616,5.97154,0,5.97154,0,0.115614,0,9.30426,9.30097,18.7208,18.7208,-3.55271e-015,-0,-0,-0,-13.0998,-0,-0,-0,-0,-0,-0.115614,-0,0,-13.2154,-13.2154,-3.55271e-015,-8.64665,-4.45318,13.0998,0,0,3.55271e-015,-7.13371e-017,3.62405e-015,-9.30426,-9.30097,0,8.64665,3.7538,-6.20479,3.79521,-10,-3.7538,-5.784,-3.71538,0,4.45318,-8.80001,1.19999,-10,-2.25616,0,5.784,3.52784,13.5278,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.115614,0.115614,0,0,0,-0,0,0,0,0
5,2002-10-06,00:00:00.00,-4.47729,0,4.47729,3.72349,2.86069,6.58418,0,6.58418,0,0.116483,0,10.7459,10.5411,21.4035,21.4035,7.10543e-015,-0,-0,-0,-13.2245,-0,-0,-0,-0,-0,-0.116483,-0,0,-13.341,-13.341,-1.77636e-015,-8.74725,-4.47729,13.2245,0,0,0,3.30391e-018,-3.30391e-018,-10.7459,-10.5411,0,8.74725,4.66732,-7.87246,2.12754,-10,-4.66732,-5.99471,-3.72349,0,4.47729,-9.90823,0.0917699,-10,-2.86069,0,5.99471,3.13402,13.134,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.116483,0.116483,0,0,0,-0,0,0,0,0
6,2002-10-07,00:00:00.00,-4.6344,0,4.6344,3.72383,3.44101,7.16483,0,7.16483,0,0.122747,0,12.0883,11.3356,23.5467,23.5467,7.10543e-015,-0,-0,-0,-14.0595,-0,-0,-0,-0,-0,-0.122747,-0,0,-14.1822,-14.1822,3.55271e-015,-9.42508,-4.6344,14.0595,0,0,1.77636e-015,-3.46158e-018,1.77982e-015,-12.0883,-11.3356,0,9.42508,4.85091,-9.14796,0.852041,-10,-4.85091,-6.04918,-3.72383,0,4.6344,-9.98951,0.0104939,-10,-3.44101,0,6.04918,2.60817,12.6082,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.122747,0.122747,0,0,0,-0,0,0,0,0
7,2002-10-08,00:00:00.00,-4.80225,0,4.80225,3.72385,3.99656,7.7204,0,7.7204,0,0.136326,0,12.9672,11.8758,24.9793,24.9793,1.06581e-014,-0,-0,-0,-15.5815,-0,-0,-0,-0,-0,-0.136326,-0,0,-15.7178,-15.7178,1.77636e-015,-10.7792,-4.80225,15.5815,0,0,3.55271e-015,-5.11935e-018,3.55783e-015,-12.9672,-11.8758,0,10.7792,5.00926,-9.05451,0.945485,-10,-5.00926,-6.06657,-3.72385,0,4.80225,-9.99743,0.00257235,-10,-3.99656,0,6.06657,2.07001,12.07,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.136326,0.136326,0,0,0,-0,0,0,0,0
8,2002-10-09,00:00:00.00,-4.80927,0,4.80927,3.72385,4.52766,8.25151,0,8.25151,0,0.136926,0,13.336,12.112,25.585,25.585,7.10543e-015,-0,-0,-0,-15.6452,-0,-0,-0,-0,-0,-0.136926,-0,0,-15.7821,-15.7821,0,-10.8359,-4.80927,15.6452,0,0,0,-1.24153e-019,1.24153e-019,-13.336,-12.112,0,10.8359,5.01886,-9.59327,0.406728,-10,-5.01886,-6.06657,-3.72385,0,4.80927,-10,0,-10,-4.52766,0,6.06657,1.53891,11.5389,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.136926,0.136926,0,0,0,-0,0,0,0,0
9,2002-10-10,00:00:00.00,-4.80927,0,4.80927,3.72385,5.0354,8.75924,0,8.75924,0,0.136926,0,13.5333,12.2135,25.8837,25.8837,0,-0,-0,-0,-15.6452,-0,-0,-0,-0,-0,-0.136926,-0,0,-15.7821,-15.7821,0,-10.8359,-4.80927,15.6452,0,0,0,3.83634e-035,-3.83634e-035,-13.5333,-12.2135,0,10.8359,5.01886,-9.89207,0.107931,-10,-5.01886,-6.06657,-3.72385,0,4.80927,-10,0,-10,-5.0354,0,6.06657,1.03117,11.0312,-10,-0,-0,0,0,0,0,-0,0,0,0,0,0,-0.136926,0.136926,0,0,0,-0,0,0,0,0
