time [d], date, hour, day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air_density [kg/m3], air_pressure [KPa], rel_humidity [-], cloud_cover [-], ET_radiation [MJ/m2/d], SW_radiation [MJ/m2/d], net_SW_radiation [MJ/m2/d], LW_incoming [MJ/m2/d], net_LW_radiation [MJ/m2/d], wind_speed [m/s], PET [mm/d], OW_PET [mm/d], daily_correction [-], potential_melt [mm/d]
0,2002-10-01,00:00:00.00,4.70809,3.46869,0,22.5956,17.9251,27.2662,22.5956,-33333.3,-33333.3,1.13348,97.2622,0.5,0,24.7818,17.556,13.9537,31.2285,-5.88789,2,2.81385,2.81385,1,70.1619
1,2002-10-02,00:00:00.00,4.70809,3.46869,0,22.5956,17.9251,27.2662,22.5956,-33333.3,-33333.3,1.13348,97.2622,0.5,0,24.7818,17.556,13.9537,31.2285,-5.88789,2,2.81385,2.81385,1,70.1619
2,2002-10-03,00:00:00.00,4.7253,1.18918,0,19.2076,15.4078,23.0075,19.2076,-33333.3,-33333.3,1.14839,97.2164,0.5,0,24.5201,17.698,14.0635,29.1674,-6.27734,2,2.28055,2.28055,1,59.2093
3,2002-10-04,00:00:00.00,4.74251,2.08326,0,13.3714,11.4987,15.244,13.3714,-33333.3,-33333.3,1.17396,97.1344,0.5,0,24.259,17.9796,14.2628,25.8666,-6.83149,2,1.3053,1.3053,1,40.8908
4,2002-10-05,00:00:00.00,4.75973,6.47431,0,19.0304,12.5097,25.551,19.0304,-33333.3,-33333.3,1.14915,97.2132,0.5,0,23.9986,17.3047,13.7496,29.0614,-6.29786,2,2.93474,2.93474,1,57.7352
5,2002-10-06,00:00:00.00,4.77694,0.125591,0,11.0186,7.43466,14.6024,11.0186,-33333.3,-33333.3,1.18431,97.1013,0.5,0,23.739,17.7238,14.1231,24.6265,-7.01207,2,1.65407,1.65407,1,33.229
6,2002-10-07,00:00:00.00,4.79416,0.841207,0,11.131,4.80519,17.4568,11.131,-33333.3,-33333.3,1.18379,97.1021,0.5,0,23.4802,17.5085,13.9287,24.681,-7.00629,2,2.22212,2.22212,1,33.266
7,2002-10-08,00:00:00.00,4.81137,1.53557,0,8.82747,3.44678,14.2082,8.82747,-33333.3,-33333.3,1.19392,97.0679,0.5,0,23.2225,17.4397,13.8461,23.5076,-7.16571,2,1.7565,1.7565,1,26.1528
8,2002-10-09,00:00:00.00,4.82858,0.0642942,0,6.22289,0.815799,11.63,6.22289,-33333.3,-33333.3,1.20545,97.0294,0.5,0,22.9658,17.3713,13.7861,22.2336,-7.32164,2,1.66873,1.66873,1,18.2945
9,2002-10-10,00:00:00.00,4.8458,0,0,11.1034,4.63803,17.5688,11.1034,-33333.3,-33333.3,1.18392,97.1019,0.5,0,22.7103,16.8909,13.358,24.6671,-7.00794,2,2.17049,2.17049,1,32.4358
10,2002-10-11,00:00:00.00,4.86301,0,0,11.4911,3.82985,19.1524,11.4911,-33333.3,-33333.3,1.18222,97.1078,0.5,0,22.4561,16.6622,13.1145,24.87,-6.97845,2,2.36616,2.36616,1,33.3248
11,2002-10-12,00:00:00.00,4.88023,0.14582,0,10.5891,5.85288,15.3252,10.5891,-33333.3,-33333.3,1.18619,97.0948,0.5,0,22.2032,16.5142,12.9305,24.4031,-7.04403,2,1.78399,1.78399,1,30.4753
12,2002-10-13,00:00:00.00,4.89744,1.1653,0,13.7763,12.055,15.4976,13.7763,-33333.3,-33333.3,1.17218,97.1399,0.5,0,21.9518,16.1076,12.5743,26.0856,-6.79773,2,1.17312,1.17312,1,39.3108
13,2002-10-14,00:00:00.00,4.91466,0.91735,0,8.26056,3.76483,12.7563,8.26056,-33333.3,-33333.3,1.19645,97.0605,0.5,0,21.7019,16.2408,12.6887,23.2268,-7.20053,2,1.47318,1.47318,1,23.4033
14,2002-10-15,00:00:00.00,4.93187,0,0,5.95081,1.27346,10.6282,5.95081,-33333.3,-33333.3,1.20665,97.025,0.5,0,21.4536,16.1539,12.6161,22.1043,-7.33637,2,1.43248,1.43248,1,16.6959
15,2002-10-16,00:00:00.00,4.94908,0,0,6.8772,-0.432372,14.1868,6.8772,-33333.3,-33333.3,1.20256,97.0397,0.5,0,21.207,15.9098,12.4023,22.5492,-7.28413,2,1.83937,1.83937,1,19.1677
16,2002-10-17,00:00:00.00,4.9663,0,0,6.17831,3.37442,8.98221,6.17831,-33333.3,-33333.3,1.20565,97.0291,0.5,0,20.9623,15.7446,12.2544,22.2124,-7.32377,2,1.09077,1.09077,1,17.0908
17,2002-10-18,00:00:00.00,4.98351,0.576301,0,3.10817,0.500432,5.71592,3.10817,-33333.3,-33333.3,1.21933,96.9823,0.5,0,20.7195,15.6787,12.1974,20.7829,-7.47603,2,0.907832,0.907832,1,8.52863
18,2002-10-19,00:00:00.00,5.00073,11.4375,0,4.44798,-0.439884,9.33584,4.44798,-33333.3,-33333.3,1.21335,97.0032,0.5,0,20.4786,15.4276,12.01,21.398,-7.41325,2,1.30951,1.30951,1,12.1203
19,2002-10-20,00:00:00.00,5.01794,4.63235,0,8.21726,6.32983,10.1047,8.21726,-33333.3,-33333.3,1.19662,97.0591,0.5,0,20.2398,15.0607,11.979,23.2037,-7.20447,2,0.939728,0.939728,1,22.188
20,2002-10-21,00:00:00.00,5.03516,0.251183,0,5.62134,3.4001,7.84258,5.62134,-33333.3,-33333.3,1.2081,97.0193,0.5,0,20.0032,14.9885,11.9818,21.9517,-7.35275,2,0.889506,0.889506,1,15.0166
21,2002-10-22,00:00:00.00,5.05237,1.15551,0,5.58807,3.13991,8.03622,5.58807,-33333.3,-33333.3,1.20825,97.0188,0.5,0,19.7688,14.7997,11.8158,21.9359,-7.35449,2,0.912508,0.912508,1,14.8139
22,2002-10-23,00:00:00.00,5.06958,2.26664,0,4.62045,3.28889,5.95201,4.62045,-33333.3,-33333.3,1.21258,97.0056,0.5,0,19.5368,14.654,11.6951,21.4778,-7.40503,2,0.638646,0.638646,1,12.1996
23,2002-10-24,00:00:00.00,5.0868,0,0,1.5652,-1.48264,4.61305,1.5652,-33333.3,-33333.3,1.22626,96.9584,0.5,0,19.3071,14.5817,11.6534,20.0926,-7.54037,2,0.848854,0.848854,1,4.08626
24,2002-10-25,00:00:00.00,5.10401,0,0,0.825821,-2.43194,4.08358,0.825821,-33333.3,-33333.3,1.22961,96.9475,0.5,0,19.08,14.4213,11.5086,19.7692,-7.56773,2,0.830843,0.830843,1,2.15707
25,2002-10-26,00:00:00.00,5.12123,9.44495,0,1.48409,-2.75449,5.72267,1.48409,-33333.3,-33333.3,1.22663,96.9574,0.5,0,18.8554,14.2155,11.324,20.0569,-7.54336,2,0.972467,0.972467,1,3.82523
26,2002-10-27,00:00:00.00,5.13844,0.447062,0,5.29265,3.70981,6.87548,5.29265,-33333.3,-33333.3,1.20958,97.0154,0.5,0,18.6335,13.8927,11.1789,21.7925,-7.37131,2,0.703101,0.703101,1,13.5212
