time,date,hour,precip [mm/day],Sub36 [m3/s],Sub36 (observed) [m3/s],Sub43 [m3/s],Sub43 (observed) [m3/s]
0,2002-10-01,00:00:00.00,---,5.96354, ,11.2505, 
1,2002-10-02,00:00:00.00,3.46869,11.9643,0.801,18.5907,3.07
2,2002-10-03,00:00:00.00,1.18918,15.437,0.828,25.7443,2.99
3,2002-10-04,00:00:00.00,2.08326,8.76948,0.86,18.6861,3.06
4,2002-10-05,00:00:00.00,6.47431,4.66501,0.903,9.82648,2.93
5,2002-10-06,00:00:00.00,0.125591,4.20829,1.04,7.90952,3.15
6,2002-10-07,00:00:00.00,0.841207,3.71063,1.03,7.40493,3.21
7,2002-10-08,00:00:00.00,1.53557,3.57954,0.837,6.73661,3.08
8,2002-10-09,00:00:00.00,0.0642942,3.39854,0.641,6.51566,3.02
9,2002-10-10,00:00:00.00,0,3.25977,0.512,6.21329,2.67
10,2002-10-11,00:00:00.00,0,3.11135,0.382,5.93559,2.54
11,2002-10-12,00:00:00.00,0.14582,2.97675,0.377,5.68291,2.52
12,2002-10-13,00:00:00.00,1.1653,2.8447,0.403,5.42541,2.87
13,2002-10-14,00:00:00.00,0.91735,2.72002,0.437,5.19263,2.67
14,2002-10-15,00:00:00.00,0,2.6001,0.405,4.96167,2.56
15,2002-10-16,00:00:00.00,0,2.4858,0.399,4.74558,2.56
16,2002-10-17,00:00:00.00,0,2.37637,0.42,4.53555,2.59
17,2002-10-18,00:00:00.00,0.576301,2.27183,0.432,4.33666,2.78
18,2002-10-19,00:00:00.00,11.4375,2.20413,0.448,4.24379,2.65
19,2002-10-20,00:00:00.00,4.63235,2.27266,0.607,4.40972,3.92
20,2002-10-21,00:00:00.00,0.251183,2.33632,0.741,4.52458,3.81
21,2002-10-22,00:00:00.00,1.15551,2.31222,0.634,4.35524,3.26
22,2002-10-23,00:00:00.00,2.26664,2.42965,0.501,4.25494,3.49
23,2002-10-24,00:00:00.00,0,2.53934,0.486,4.30223,3.21
24,2002-10-25,00:00:00.00,0,2.43137,0.475,4.21763,3.07
25,2002-10-26,00:00:00.00,9.44495,2.60488,0.489,4.35536,2.95
26,2002-10-27,00:00:00.00,0.447062,2.88,0.551,4.74045,3.37
27,2002-10-28,00:00:00.00,0.448561,2.72972,0.669,4.67261,3.73
28,2002-10-29,00:00:00.00,0,2.55068,0.574,4.32116,3.78
29,2002-10-30,00:00:00.00,0,2.4556,0.53,4.11037,3.67
30,2002-10-31,00:00:00.00,0,2.33961,0.498,3.94452,3.32
31,2002-11-01,00:00:00.00,5.50081,2.25251,0.408,3.76873,3.21
32,2002-11-02,00:00:00.00,4.28381,2.17969,0.606,3.6284,3.31
33,2002-11-03,00:00:00.00,1.58937,2.10087,0.444,3.49228,3.53
34,2002-11-04,00:00:00.00,0,2.02011,0.479,3.35438,3.63
35,2002-11-05,00:00:00.00,0,2.07377,0.538,3.29319,3.5
36,2002-11-06,00:00:00.00,1.56572,2.23315,0.725,3.36626,3.37
37,2002-11-07,00:00:00.00,4.1262,2.54762,0.703,3.70394,3.57
38,2002-11-08,00:00:00.00,0,2.80219,0.589,4.11867,4.01
39,2002-11-09,00:00:00.00,0,2.75529,0.89,4.171,3.8
40,2002-11-10,00:00:00.00,0.551577,2.77208,0.858,4.053,3.7
41,2002-11-11,00:00:00.00,32.2238,10.7099,1.52,14.7575,4.14
42,2002-11-12,00:00:00.00,1.00065,17.0355,6.07,27.0823,12.6
43,2002-11-13,00:00:00.00,0,10.4156,5.17,20.8434,15.1
44,2002-11-14,00:00:00.00,0,5.01649,3.56,9.75803,11
45,2002-11-15,00:00:00.00,3.04701,4.476,2.34,6.82629,8.81
46,2002-11-16,00:00:00.00,0.900118,4.34794,1.85,7.04557,7.61
47,2002-11-17,00:00:00.00,0.335519,4.17825,1.5,6.74503,6.33
48,2002-11-18,00:00:00.00,2.42852,3.89134,1.33,6.39199,5.71
49,2002-11-19,00:00:00.00,0.287658,3.77533,1.26,6.09381,5.38
50,2002-11-20,00:00:00.00,0.32011,3.76456,1.24,6.21299,5.19
51,2002-11-21,00:00:00.00,0,3.83628,1.13,6.51073,5.12
52,2002-11-22,00:00:00.00,1.96778,3.92858,1.02,6.54255,5.07
53,2002-11-23,00:00:00.00,0.547319,4.00221,1.12,6.54877,4.94
54,2002-11-24,00:00:00.00,0.0627957,3.85803,1.16,6.42078,4.83
55,2002-11-25,00:00:00.00,1.26321,3.81871,1.09,6.19973,4.65
56,2002-11-26,00:00:00.00,2.63962,3.84174,1,6.09882,4.7
57,2002-11-27,00:00:00.00,0.0642942,3.6871,1.04,5.94069,4.51
58,2002-11-28,00:00:00.00,0.631605,3.51136,0.98,5.65561,4.41
59,2002-11-29,00:00:00.00,1.6708,3.36125,0.95,5.40202,4.25
60,2002-11-30,00:00:00.00,1.58651,3.21565,0.93,5.17186,4.17
61,2002-12-01,00:00:00.00,2.92338,3.13642,0.94,4.97558,4.18
62,2002-12-02,00:00:00.00,4.17386,3.0341,0.96,4.81197,4.38
63,2002-12-03,00:00:00.00,0.125591,2.87711,0.91,4.60246,4.19
64,2002-12-04,00:00:00.00,0.627957,2.7475,0.87,4.3798,4.05
65,2002-12-05,00:00:00.00,0.382768,2.62658,0.83,4.18912,3.95
66,2002-12-06,00:00:00.00,0.993809,2.51098,0.8,4.00529,3.85
67,2002-12-07,00:00:00.00,0.168671,2.4005,0.77,3.82818,3.8
68,2002-12-08,00:00:00.00,0.0627957,2.29487,0.728,3.6604,3.74
69,2002-12-09,00:00:00.00,0.735331,2.1939,0.7,3.49891,3.68
70,2002-12-10,00:00:00.00,0,2.09736,0.67,3.3452,3.62
71,2002-12-11,00:00:00.00,0.0642942,2.00507,0.65,3.19787,3.56
72,2002-12-12,00:00:00.00,0.128588,1.91684,0.635,3.05723,3.5
73,2002-12-13,00:00:00.00,0,2.01083,0.629,3.14161,3.45
74,2002-12-14,00:00:00.00,0.189886,2.15833,0.639,3.39778,3.7
