,SubBasin:,30,36,39,43,
time,day,maximum,maximum,maximum,maximum,
1,2002-10-01,5.2,3.27719,2.4,2.4,
2,2002-10-02,2.2,1.43668,0.4,0.4,
3,2002-10-03,0,2.68166,3.2,3.2,
4,2002-10-04,4,7.83891,7.5,7.5,
5,2002-10-05,0.4,0,0,0,
6,2002-10-06,2.2,0.478786,0.1,0.1,
7,2002-10-07,1,1.52121,1.9,1.9,
8,2002-10-08,0,0.0800639,0.1,0.1,
9,2002-10-09,0,0,0,0,
10,2002-10-10,0,0,0,0,
11,2002-10-11,0,0.239872,0.2,0.2,
12,2002-10-12,3,0.598723,0.2,0.2,
13,2002-10-13,0,1.20064,1.4,1.4,
14,2002-10-14,0,0,0,0,
15,2002-10-15,0,0,0,0,
16,2002-10-16,0,0,0,0,
17,2002-10-17,0.4,0.998403,0.5,0.5,
18,2002-10-18,15.6,10.0376,9.3,9.3,
19,2002-10-19,3.2,5.47911,5.2,5.2,
20,2002-10-20,0.8,0,0,0,
21,2002-10-21,3.2,0.697765,0,0,
22,2002-10-22,6.4,0.320255,0.4,0.4,
23,2002-10-23,0,0,0,0,
24,2002-10-24,0,0,0,0,
25,2002-10-25,8,10.1199,10.1,10.1,
26,2002-10-26,0.4,0.400319,0.5,0.5,
27,2002-10-27,0.2,0.480383,0.6,0.6,
28,2002-10-28,0,0,0,0,
29,2002-10-29,0,0,0,0,
30,2002-10-30,0,0,0,0,
31,2002-10-31,7.6,5.71451,4,4,
32,2002-11-01,9.2,3.19457,1.5,1.5,
33,2002-11-02,2.4,1.04083,1.3,1.3,
34,2002-11-03,0,0,0,0,
35,2002-11-04,0,0,0,0,
36,2002-11-05,1,1.66077,1.9,1.9,
37,2002-11-06,1.4,4.8823,5.6,5.6,
38,2002-11-07,0,0,0,0,
39,2002-11-08,0,0,0,0,
40,2002-11-09,1.4,0.518339,0,0,
41,2002-11-10,20.8,35.6086,38.3,38.3,
42,2002-11-11,1,1.43796,0.8,0.8,
43,2002-11-12,0,0,0,0,
44,2002-11-13,0,0,0,0,
45,2002-11-14,4.2,2.77879,2.4,2.4,
46,2002-11-15,0,1.12089,1.4,1.4,
47,2002-11-16,1,0.0996807,0,0,
48,2002-11-17,2,2.46077,2.7,2.7,
49,2002-11-18,0,0.678786,0.3,0.3,
50,2002-11-19,0.8,0.318978,0,0,
51,2002-11-20,0,0,0,0,
52,2002-11-21,4,1.11962,1,1,
53,2002-11-22,0.2,0.719936,0.7,0.7,
54,2002-11-23,0.2,0,0,0,
55,2002-11-24,3.2,1.19617,0,0,
56,2002-11-25,2.4,2.42153,2.9,2.9,
57,2002-11-26,0,0.0800639,0.1,0.1,
58,2002-11-27,1.6,0.598084,0,0,
59,2002-11-28,4.8,0.757573,0,0,
60,2002-11-29,3.4,0.879425,0.7,0.7,
61,2002-11-30,4.2,3.07655,2,2,
62,2002-12-01,11.4,2.75119,0,0,
63,2002-12-02,0.4,0,0,0,
64,2002-12-03,2,0,0,0,
65,2002-12-04,0.4,0.320255,0.4,0.4,
66,2002-12-05,2,1.47559,0.1,0.1,
67,2002-12-06,0.4,0.199361,0,0,
68,2002-12-07,0.2,0,0,0,
69,2002-12-08,2,0.279425,0.1,0.1,
70,2002-12-09,0,0,0,0,
71,2002-12-10,0,0.0800639,0.1,0.1,
72,2002-12-11,0,0.160128,0.2,0.2,
73,2002-12-12,0,0,0,0,
74,2002-12-13,0.4,0.0800639,0.1,0.1,
75,2002-12-14,0,0.0800639,0.1,0.1,
76,2002-12-15,2.2,0.660128,0.7,0.7,
77,2002-12-16,0,0,0,0,
78,2002-12-17,0,0,0,0,
79,2002-12-18,3.4,0.518339,0,0,
80,2002-12-19,10,9.1193,8.9,8.9,
81,2002-12-20,9.6,3.95917,3.7,3.7,
82,2002-12-21,1.8,0.677828,0,0,
83,2002-12-22,2.4,0.598084,0,0,
84,2002-12-23,3.6,0.0996807,0,0,
85,2002-12-24,2,1.15853,0.7,0.7,
86,2002-12-25,1.6,0.35885,0,0,
87,2002-12-26,0,0,0,0,
88,2002-12-27,0,0,0,0,
89,2002-12-28,0,0,0,0,
90,2002-12-29,0,0.560447,0.7,0.7,
91,2002-12-30,0.4,1.58006,1.6,1.6,
92,2002-12-31,0,0.0800639,0.1,0.1,
93,2003-01-01,0,0,0,0,
94,2003-01-02,1.8,1.07687,0.1,0.1,
95,2003-01-03,3.2,0.438595,0,0,
96,2003-01-04,1,0,0,0,
97,2003-01-05,3,1.03764,0.3,0.3,
98,2003-01-06,0.6,0.0996807,0,0,
99,2003-01-07,0.4,0,0,0,
100,2003-01-08,0,4.00319,5,5,
101,2003-01-09,6.6,1.79904,1.5,1.5,
102,2003-01-10,9.2,1.39553,0,0,
103,2003-01-11,4.8,0.797445,0,0,
104,2003-01-12,1.6,1.49521,0,0,
105,2003-01-13,2.2,1.89393,0,0,
106,2003-01-14,6.8,1.09649,0,0,
107,2003-01-15,4,0.498403,0,0,
108,2003-01-16,1.4,0,0,0,
109,2003-01-17,0,0,0,0,
110,2003-01-18,1.6,0.35885,0,0,
111,2003-01-19,5,0.697765,0,0,
112,2003-01-20,4.2,0.598084,0,0,
113,2003-01-21,1,0.199361,0,0,
114,2003-01-22,2.4,0.398723,0,0,
115,2003-01-23,2.4,0.598084,0,0,
116,2003-01-24,2.8,0.598084,0,0,
117,2003-01-25,6.8,1.09649,0,0,
118,2003-01-26,0,0,0,0,
119,2003-01-27,1.4,0.199361,0,0,
120,2003-01-28,3.2,0.797445,0,0,
121,2003-01-29,0.4,0,0,0,
122,2003-01-30,0,0,0,0,
123,2003-01-31,0,0.640511,0.8,0.8,
124,2003-02-01,0,2.48198,3.1,3.1,
125,2003-02-02,0,0.0800639,0.1,0.1,
126,2003-02-03,12.4,7.40032,7.5,7.5,
127,2003-02-04,8,7.77783,7.1,7.1,
128,2003-02-05,4.6,0,0,0,
129,2003-02-06,1,0.0800639,0.1,0.1,
130,2003-02-07,0.4,0.0800639,0.1,0.1,
131,2003-02-08,1.8,1.19617,0,0,
132,2003-02-09,0,0.0800639,0.1,0.1,
133,2003-02-10,2.2,0.877509,0.1,0.1,
134,2003-02-11,2,0.797445,0,0,
135,2003-02-12,1,0.398723,0,0,
136,2003-02-13,0.2,0.0398723,0,0,
137,2003-02-14,0,0,0,0,
138,2003-02-15,0,0,0,0,
139,2003-02-16,0.6,0,0,0,
140,2003-02-17,1.8,0.797445,0,0,
141,2003-02-18,1,0.160128,0.2,0.2,
142,2003-02-19,0,0.0800639,0.1,0.1,
143,2003-02-20,0,0,0,0,
144,2003-02-21,0,0,0,0,
145,2003-02-22,12,5.43125,2.7,2.7,
146,2003-02-23,0,0,0,0,
147,2003-02-24,2.2,1.48038,1.6,1.6,
148,2003-02-25,0,0.0800639,0.1,0.1,
149,2003-02-26,0,0.0800639,0.1,0.1,
150,2003-02-27,0,0,0,0,
151,2003-02-28,0,0,0,0,
152,2003-03-01,2.6,0.797445,0,0,
153,2003-03-02,0,1.52121,1.9,1.9,
154,2003-03-03,1,0.598084,0,0,
155,2003-03-04,9.8,3.87112,1.1,1.1,
156,2003-03-05,1.4,0.478786,0.1,0.1,
157,2003-03-06,0,2.32185,2.9,2.9,
158,2003-03-07,0,0.359489,0.2,0.2,
159,2003-03-08,3,0.679745,0.6,0.6,
160,2003-03-09,0.6,0,0,0,
161,2003-03-10,0,0,0,0,
162,2003-03-11,3.6,2.67495,1.1,1.1,
163,2003-03-12,0,1.75981,1.7,1.7,
164,2003-03-13,0,0.0800639,0.1,0.1,
165,2003-03-14,0,0,0,0,
166,2003-03-15,0,0,0,0,
167,2003-03-16,0,0,0,0,
168,2003-03-17,0,0.0800639,0.1,0.1,
169,2003-03-18,0,0.0800639,0.1,0.1,
170,2003-03-19,1.6,0.179425,0,0,
171,2003-03-20,0.2,1.52121,1.9,1.9,
172,2003-03-21,2.2,1.19936,1,1,
173,2003-03-22,0,0.640511,0.8,0.8,
174,2003-03-23,1,0,0,0,
175,2003-03-24,0,0,0,0,
176,2003-03-25,0.4,0.499681,0.4,0.4,
177,2003-03-26,0,0,0,0,
178,2003-03-27,1,0,0,0,
179,2003-03-28,14.2,5.83157,3.2,3.2,
180,2003-03-29,0.8,12.5292,15.4,15.4,
181,2003-03-30,1,0.0800639,0.1,0.1,
182,2003-03-31,2.8,1.49521,0,0,
183,2003-04-01,0.8,1.8807,2.1,2.1,
184,2003-04-02,0,0.480383,0.6,0.6,
185,2003-04-03,2.8,6.22039,0.1,0.1,
186,2003-04-04,2.6,2.35246,0,0,
187,2003-04-05,2,0.0800639,0.1,0.1,
188,2003-04-06,0,9.04722,11.3,11.3,
189,2003-04-07,2.4,1.79425,0,0,
190,2003-04-08,0,2.40192,3,3,
191,2003-04-09,0,8.32664,10.4,10.4,
192,2003-04-10,0,0,0,0,
193,2003-04-11,0,0,0,0,
194,2003-04-12,0,0,0,0,
195,2003-04-13,0,0,0,0,
196,2003-04-14,0,0,0,0,
197,2003-04-15,0,0,0,0,
