,SubBasin:,30,36,39,43,
time,day,mean,mean,mean,mean,
1,2002-10-01,0,0,0,0,
2,2002-10-02,0,0,0,0,
3,2002-10-03,0,0,0,0,
4,2002-10-04,0,0,0,0,
5,2002-10-05,0,0,0,0,
6,2002-10-06,0,0,0,0,
7,2002-10-07,0,0,0,0,
8,2002-10-08,0,0,0,0,
9,2002-10-09,0,0,0,0,
10,2002-10-10,0,0,0,0,
11,2002-10-11,0,0,0,0,
12,2002-10-12,0,0,0,0,
13,2002-10-13,0,0,0,0,
14,2002-10-14,0,0,0,0,
15,2002-10-15,0,0,0,0,
16,2002-10-16,0,0,0,0,
17,2002-10-17,0,0,0,0,
18,2002-10-18,0,0,0,0,
19,2002-10-19,0,0,0,0,
20,2002-10-20,0,0,0,0,
21,2002-10-21,0,0,0,0,
22,2002-10-22,0,0,0,0,
23,2002-10-23,0,0,0,0,
24,2002-10-24,0,0,0,0,
25,2002-10-25,0,0,0,0,
26,2002-10-26,0,0,0,0,
27,2002-10-27,0,0,0,0,
28,2002-10-28,0,0,0,0,
29,2002-10-29,0,0,0,0,
30,2002-10-30,0,0,0,0,
31,2002-10-31,5.40606,3.89941,3.31791,3.31939,
32,2002-11-01,14.5424,4.94549,3.39687,3.39658,
33,2002-11-02,16.2496,5.70083,4.26269,4.26274,
34,2002-11-03,16.2496,3.37037,2.22608,2.21674,
35,2002-11-04,10.067,0.480235,0,0,
36,2002-11-05,8.90634,0.0895977,0,0,
37,2002-11-06,4.03052,0.032505,0,0,
38,2002-11-07,4.23204,0.0136076,0,0,
39,2002-11-08,0.136432,0,0,0,
40,2002-11-09,0,0,0,0,
41,2002-11-10,0,0,0,0,
42,2002-11-11,0,0,0,0,
43,2002-11-12,0,0,0,0,
44,2002-11-13,0,0,0,0,
45,2002-11-14,0,0,0,0,
46,2002-11-15,0,1.12089,1.4,1.4,
47,2002-11-16,1,1.22057,1.4,1.4,
48,2002-11-17,3,3.68134,4.1,4.1,
49,2002-11-18,3,3.53948,4.3084,4.3084,
50,2002-11-19,2.66684,0.295242,0.412195,0.393737,
51,2002-11-20,0,0,0,0,
52,2002-11-21,0,0,0,0,
53,2002-11-22,0.2,0,0,0,
54,2002-11-23,0.343256,0,0,0,
55,2002-11-24,0,0,0,0,
56,2002-11-25,2.4,2.06446,2.51627,2.51627,
57,2002-11-26,2.4,2.14453,2.61627,2.61627,
58,2002-11-27,4,2.74261,2.61627,2.61627,
59,2002-11-28,8.8,3.50018,2.61627,2.61627,
60,2002-11-29,11.9707,3.54018,2.677,2.67597,
61,2002-11-30,16.4,5.56795,4.80781,4.80678,
62,2002-12-01,27.8,8.38908,4.80781,4.80678,
63,2002-12-02,28.2,8.38908,4.80781,4.80678,
64,2002-12-03,30.2,8.38908,4.80781,4.80678,
65,2002-12-04,30.6,8.70933,5.20781,5.20678,
66,2002-12-05,32.6,10.1849,5.30781,5.30678,
67,2002-12-06,33,10.3843,5.30781,5.30678,
68,2002-12-07,33.2,10.3843,5.30781,5.30678,
69,2002-12-08,35.2,10.6637,5.40781,5.40678,
70,2002-12-09,35.2,10.6637,5.40781,5.40678,
71,2002-12-10,35.2,10.7438,5.50781,5.50678,
72,2002-12-11,35.2,10.9039,5.70781,5.70678,
73,2002-12-12,31.625,7.83963,2.84316,2.82894,
74,2002-12-13,32.025,7.91969,2.94316,2.92894,
75,2002-12-14,30.4982,5.39095,0.345184,0.354132,
76,2002-12-15,31.5982,5.89489,1.05578,1.06581,
77,2002-12-16,32.6982,5.96629,1.05578,1.06581,
78,2002-12-17,32.6982,5.96629,1.05578,1.06581,
79,2002-12-18,36.0982,6.48463,1.05578,1.06581,
80,2002-12-19,31.5414,4.40087,0.0561136,0.0510553,
81,2002-12-20,33.759,3.61606,0,0,
82,2002-12-21,37.136,4.47212,0,0,
83,2002-12-22,39.536,5.07278,0,0,
84,2002-12-23,43.136,5.17246,0,0,
85,2002-12-24,45.136,6.33099,0.7,0.7,
86,2002-12-25,46.736,6.68984,0.7,0.7,
87,2002-12-26,46.736,6.68984,0.7,0.7,
88,2002-12-27,46.736,6.68984,0.7,0.7,
89,2002-12-28,46.736,6.68984,0.7,0.7,
90,2002-12-29,46.736,7.25029,1.4,1.4,
91,2002-12-30,45.7435,6.12113,0,0,
92,2002-12-31,41.6577,4.90853,0,0,
93,2003-01-01,42.0307,5.12272,0,0,
94,2003-01-02,43.8307,6.19959,0.1,0.1,
95,2003-01-03,47.0307,6.63819,0.1,0.1,
96,2003-01-04,48.0307,6.63819,0.1,0.1,
97,2003-01-05,51.0307,7.67583,0.4,0.4,
98,2003-01-06,51.6307,7.77551,0.4,0.4,
99,2003-01-07,52.0307,7.77551,0.4,0.4,
100,2003-01-08,52.0307,7.26458,0,0,
