time [d],date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Snow Evaporation[mm],Snow Melt & Refreeze[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Capillary Rise[mm],Soil Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,CANOPY_SNOW,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],SOIL[1],SOIL[0],SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,SURFACE_WATER,ATMOSPHERE,ATMOS_PRECIP,PONDED_WATER,SOIL[0],SOIL[1],SOIL[2],SNOW_LIQ,SNOW,CANOPY,CANOPY_SNOW,ATMOSPHERE,ATMOSPHERE,PONDED_WATER,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,SOIL[0],ATMOSPHERE,SOIL[2],SURFACE_WATER,SURFACE_WATER
0,2002-10-01,00:00:00.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2002-10-02,00:00:00.00,0,0,0,0,3.43998,0,0,0,0,0,0.02871,0,0.02871,0,0,0,1.82396,1.61602,1.61602,2.81385,0.854061,2.81385,1.446,2.76691,0.503647
2,2002-10-03,00:00:00.00,0,0,0,0,4.6195,0,0,0,0,0,0.0383652,0,0.0383652,0,0,0,2.52532,2.09418,2.09418,5.0944,1.81321,5.08951,2.892,3.48391,1.04876
3,2002-10-04,00:00:00.00,0,0,0,0,6.68329,0,0,0,0,0,0.0578384,0,0.0578384,0,0,0,4.1015,2.58179,2.58179,6.39129,2.80315,6.38844,4.338,3.61924,1.63351
4,2002-10-05,00:00:00.00,0,0,0,0,13.0998,0,0,0,0,0,0.115614,0,0.115614,0,0,0,8.64665,4.45318,4.45318,9.30426,3.7538,9.30097,5.784,3.71538,2.25616
5,2002-10-06,00:00:00.00,0,0,0,0,13.2245,0,0,0,0,0,0.116483,0,0.116483,0,0,0,8.74725,4.47729,4.47729,10.7459,4.66732,10.5411,5.99471,3.72349,2.86069
6,2002-10-07,00:00:00.00,0,0,0,0,14.0595,0,0,0,0,0,0.122747,0,0.122747,0,0,0,9.42508,4.6344,4.6344,12.0883,4.85091,11.3356,6.04918,3.72383,3.44101
7,2002-10-08,00:00:00.00,0,0,0,0,15.5815,0,0,0,0,0,0.136326,0,0.136326,0,0,0,10.7792,4.80225,4.80225,12.9672,5.00926,11.8758,6.06657,3.72385,3.99656
8,2002-10-09,00:00:00.00,0,0,0,0,15.6452,0,0,0,0,0,0.136926,0,0.136926,0,0,0,10.8359,4.80927,4.80927,13.336,5.01886,12.112,6.06657,3.72385,4.52766
9,2002-10-10,00:00:00.00,0,0,0,0,15.6452,0,0,0,0,0,0.136926,0,0.136926,0,0,0,10.8359,4.80927,4.80927,13.5333,5.01886,12.2135,6.06657,3.72385,5.0354
10,2002-10-11,00:00:00.00,0,0,0,0,15.6452,0,0,0,0,0,0.136926,0,0.136926,0,0,0,10.8359,4.80927,4.80927,13.59,5.01886,12.2404,6.06657,3.72385,5.52079
11,2002-10-12,00:00:00.00,0,0,0,0,15.7896,0,0,0,0,0,0.138303,0,0.138303,0,0,0,10.9763,4.81333,4.81333,13.6563,5.02292,12.2816,6.06657,3.72385,5.98482
12,2002-10-13,00:00:00.00,0,0,0,0,16.9462,0,0,0,0,0,0.146995,0,0.146995,0,0,0,12.113,4.83325,4.83325,13.9664,5.04284,12.5147,6.06657,3.72385,6.42844
13,2002-10-14,00:00:00.00,0,0,0,0,17.855,0,0,0,0,0,0.155575,0,0.155575,0,0,0,12.9666,4.88836,4.88836,14.462,5.09455,12.8517,6.06996,3.72385,6.85269
14,2002-10-15,00:00:00.00,0,0,0,0,17.855,0,0,0,0,0,0.155575,0,0.155575,0,0,0,12.9666,4.88836,4.88836,14.7009,5.09455,13.0142,6.06996,3.72385,7.25827
15,2002-10-16,00:00:00.00,0,0,0,0,17.855,0,0,0,0,0,0.155575,0,0.155575,0,0,0,12.9666,4.88836,4.88836,14.8429,5.09455,13.0979,6.06996,3.72385,7.646
16,2002-10-17,00:00:00.00,0,0,0,0,17.855,0,0,0,0,0,0.155575,0,0.155575,0,0,0,12.9666,4.88836,4.88836,14.8714,5.09455,13.1196,6.06996,3.72385,8.01667
17,2002-10-18,00:00:00.00,0,0,0,0,18.4261,0,0,0,0,0,0.16077,0,0.16077,0,0,0,13.5171,4.909,4.909,14.9986,5.11519,13.2248,6.06996,3.72385,8.37103
18,2002-10-19,00:00:00.00,0,0,0,0,29.7681,0,0,0,0,0,0.256238,0,0.256238,0,0,0,23.9358,5.83234,5.83234,16.2941,5.77096,14.5237,6.25259,3.7414,8.71784
19,2002-10-20,00:00:00.00,0,0,0,0,34.3594,0,0,0,0,0,0.29732,0,0.29732,0,0,0,26.5652,7.7942,7.7942,17.2249,6.57819,15.4568,7.33628,3.76707,9.09706
20,2002-10-21,00:00:00.00,0,0,0,0,34.6088,0,0,0,0,0,0.299059,0,0.299059,0,0,0,26.6781,7.93068,7.93068,18.1077,6.76129,16.3414,7.36148,3.77163,9.46071
21,2002-10-22,00:00:00.00,0,0,0,0,35.7558,0,0,0,0,0,0.307559,0,0.307559,0,0,0,27.2351,8.52075,8.52075,19.0144,7.04307,17.2498,7.7001,3.77174,9.82326
22,2002-10-23,00:00:00.00,0,0,0,0,38.0061,0,0,0,0,0,0.323868,0,0.323868,0,0,0,28.3483,9.65783,9.65783,19.6496,7.35583,17.8859,8.15412,3.78718,10.1898
23,2002-10-24,00:00:00.00,0,0,0,0,38.0061,0,0,0,0,0,0.323868,0,0.323868,0,0,0,28.3483,9.65783,9.65783,20.4936,7.58154,18.7056,8.2891,3.78718,10.5462
