time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2002-10-01,00:00:00.00,---,---,0.494463,0,1.0562,0,0,0,10,10,10,0,0,0,0,31.5507,0,0,3.55271e-015
1,2002-10-02,00:00:00.00,3.46869,0,0.906826,0,2.33095,0,5.65641,0,7.05032,6.54905,10.9424,0,0,0,0,33.4359,3.46869,1.58344,-8.88178e-016
2,2002-10-03,00:00:00.00,1.18918,0,0.964977,0,1.34218,0,10.2223,1.01511e-017,4.15461,3.90507,11.8432,0,0,0,0,32.4324,4.65787,3.77617,2.66454e-015
3,2002-10-04,00:00:00.00,2.08326,0,0.495393,0,0.940287,0,12.8376,-9.44248e-018,4.12491,1.8214,12.7045,0,0,0,0,32.9241,6.74113,5.36774,1.15463e-014
4,2002-10-05,00:00:00.00,6.47431,0,0.405887,0,0.911627,0,18.7208,-7.13371e-017,3.79521,1.19999,13.5278,0,0,0,0,38.5614,13.2154,6.20469,1.42109e-014
5,2002-10-06,00:00:00.00,0.125591,0,0.403366,0,0.853097,0,21.4035,3.30391e-018,2.12754,0.0917699,13.134,0,0,0,0,38.0133,13.341,6.87838,8.88178e-015
6,2002-10-07,00:00:00.00,0.841207,0,0.376112,0,0.830304,0,23.5467,-3.46158e-018,0.852041,0.0104939,12.6082,0,0,0,0,38.2238,14.1822,7.50908,1.77636e-015
7,2002-10-08,00:00:00.00,1.53557,0,0.373363,0,0.814843,0,24.9793,-5.11935e-018,0.945485,0.00257235,12.07,0,0,0,0,39.1856,15.7178,8.08286,3.55271e-015
8,2002-10-09,00:00:00.00,0.0642942,0,0.364264,0,0.800086,0,25.585,-1.24153e-019,0.406728,0,11.5389,0,0,0,0,38.6949,15.7821,8.63782,-5.32907e-015
9,2002-10-10,00:00:00.00,0,0,0.356915,0,0.785962,0,25.8837,3.83634e-035,0.107931,0,11.0312,0,0,0,0,38.1657,15.7821,9.16703,5.32907e-015
10,2002-10-11,00:00:00.00,0,0,0.350256,0,0.77246,0,25.9674,-2.21128e-052,0.0242982,0,10.5458,0,0,0,0,37.6602,15.7821,9.67258,1.95399e-014
11,2002-10-12,00:00:00.00,0.14582,0,0.343165,0,0.759553,0,26.0762,5.84854e-019,0.0613068,0,10.0817,0,0,0,0,37.322,15.9279,10.1566,1.06581e-014
12,2002-10-13,00:00:00.00,1.1653,0,0.33702,0,0.747213,0,26.628,2.20211e-017,0.674758,0,9.63813,0,0,0,0,38.0252,17.0932,10.6187,3.55271e-015
13,2002-10-14,00:00:00.00,0.91735,0,0.330706,0,0.7355,0,27.4693,-1.50215e-017,0.747428,0,9.21727,0,0,0,0,38.5002,18.0106,11.061,1.24345e-014
14,2002-10-15,00:00:00.00,0,0,0.324954,0,0.724227,0,27.8707,-5.22397e-035,0.346104,0,8.8117,0,0,0,0,38.0776,18.0106,11.4836,0
15,2002-10-16,00:00:00.00,0,0,0.319273,0,0.713442,0,28.0964,1.59618e-051,0.120403,0,8.42396,0,0,0,0,37.6734,18.0106,11.8878,0
16,2002-10-17,00:00:00.00,0,0,0.313946,0,0.703131,0,28.1465,-3.17608e-068,0.0702083,0,8.05329,0,0,0,0,37.2871,18.0106,12.2741,1.06581e-014
17,2002-10-18,00:00:00.00,0.576301,0,0.308795,0,0.693275,0,28.3841,1.36415e-018,0.408929,0,7.69893,0,0,0,0,37.4941,18.5869,12.6435,1.42109e-014
18,2002-10-19,00:00:00.00,11.4375,0,0.306962,0,0.698008,0,31.0741,-1.65176e-016,8.88885,0.0673819,7.53475,0,0,0,0,48.5701,30.0243,13.0049,3.55271e-015
19,2002-10-20,00:00:00.00,4.63235,0,0.313371,0,0.7209,0,32.9791,3.31622e-017,10.4616,0.112667,8.23921,0,0,0,0,52.8268,34.6567,13.3805,0
20,2002-10-21,00:00:00.00,0.251183,0,0.314423,0,0.702691,0,34.7482,4.9333e-034,8.99028,0.036283,7.90076,0,0,0,0,52.6926,34.9079,13.7659,3.55271e-015
21,2002-10-22,00:00:00.00,1.15551,0,0.311096,0,0.697721,0,36.5717,0,8.01402,0.00583821,7.87684,0,0,0,0,53.4772,36.0634,14.1368,7.10543e-015
22,2002-10-23,00:00:00.00,2.26664,0,0.32011,0,0.70832,0,37.8594,-2.78541e-018,8.16857,0.360697,7.96428,0,0,0,0,55.3814,38.33,14.4993,1.06581e-014
23,2002-10-24,00:00:00.00,0,0,0.323065,0,0.695312,0,39.523,9.97899e-035,6.73071,0,7.74288,0,0,0,0,55.015,38.33,14.8657,1.42109e-014
24,2002-10-25,00:00:00.00,0,0,0.314546,0,0.685303,0,40.8334,5.53945e-051,5.42034,0,7.40218,0,0,0,0,54.6558,38.33,15.2249,1.42109e-014
25,2002-10-26,00:00:00.00,9.44495,0,0.331803,0,0.742449,0,42.8441,-8.86077e-017,10.8577,0.699709,8.25391,0,0,0,0,63.7297,47.775,15.5959,0
26,2002-10-27,00:00:00.00,0.447062,0,0.342685,0,0.716903,0,44.2445,1.59244e-018,10.0936,0.0390916,8.33629,0,0,0,0,63.7731,48.222,15.9996,2.84217e-014
27,2002-10-28,00:00:00.00,0.448561,0,0.327522,0,0.702387,0,45.7725,-4.51466e-019,9.01986,0.0152672,7.9861,0,0,0,0,63.8236,48.6706,16.3976,0
28,2002-10-29,00:00:00.00,0,0,0.321336,0,0.692034,0,47.5166,-9.41701e-036,7.28866,0,7.63698,0,0,0,0,63.4556,48.6706,16.7657,3.19744e-014
29,2002-10-30,00:00:00.00,0,0,0.316685,0,0.682633,0,48.8835,3.89532e-051,5.92172,0,7.30094,0,0,0,0,63.1055,48.6706,17.1158,0
30,2002-10-31,00:00:00.00,0,0,0.310927,0,0.673678,0,50.5002,0,4.30501,0,6.97968,0,0,0,0,62.7695,48.6706,17.4517,2.4869e-014
31,2002-11-01,00:00:00.00,1.36659,4.13422,0.306737,0,0.666444,0,50.7474,1.34646e-017,5.40346,0,6.72583,0,4.0995,0,0,67.9493,54.1714,17.7727,1.42109e-014
32,2002-11-02,00:00:00.00,0.847786,3.43603,0.302967,0,0.659667,0,50.942,-6.65707e-018,6.18323,0,6.48521,0.120105,7.2309,0,0,71.9241,58.4552,18.0818,1.42109e-014
33,2002-11-03,00:00:00.00,0.555783,1.03359,0.298733,0,0.651814,0,51.1313,3.13016e-018,6.27243,0,6.19984,0.324846,8.33709,0,0,73.216,60.0446,18.3792,1.42109e-014
34,2002-11-04,00:00:00.00,0,0,0.294711,0,0.645715,0,51.304,-1.5815e-018,7.54039,0,5.9874,0.283553,6.87454,0,0,72.9303,60.0446,18.6649,2.13163e-014
35,2002-11-05,00:00:00.00,0,0,0.29938,0,0.656396,0,52.634,1.008e-017,9.13255,0.299376,6.20544,0.158042,3.2646,0,0,72.6498,60.0446,18.9454,1.42109e-014
36,2002-11-06,00:00:00.00,1.54455,0.0211737,0.307465,0,0.657617,0,53.5559,-1.35932e-017,10.0122,0.0376076,6.40154,0.140788,2.81576,0,0,73.9288,61.6103,19.2321,2.84217e-014
